date,time,type,notes
2026-04-11,17:29,mixed,
2026-04-11,15:09,wet,
2026-04-11,12:15,wet,
2026-04-11,00:05,wet,
2026-04-10,16:00,wet,
2026-04-10,14:30,wet,
2026-04-10,11:29,mixed,
2026-04-10,10:15,wet,
2026-04-10,07:30,mixed,
2026-04-09,22:07,wet,
2026-04-09,16:00,wet,
2026-04-09,14:30,wet,
2026-04-09,11:00,wet,
2026-04-09,08:40,mixed,
2026-04-09,06:44,dirty,
2026-04-08,22:03,wet,
2026-04-08,16:00,wet,
2026-04-08,14:29,wet,
2026-04-08,11:29,wet,
2026-04-08,10:29,wet,
2026-04-08,08:00,wet,
2026-04-07,20:55,wet,
2026-04-07,16:04,mixed,
2026-04-07,14:30,wet,
2026-04-07,11:20,wet,
2026-04-07,10:04,wet,
2026-04-07,07:08,mixed,
2026-04-06,21:25,wet,
2026-04-06,14:00,wet,
2026-04-06,11:20,wet,
2026-04-06,07:00,wet,
2026-04-05,22:07,wet,
2026-04-05,18:48,wet,
2026-04-05,15:29,wet,
2026-04-05,12:30,mixed,
2026-04-05,07:20,mixed,
2026-04-05,01:03,wet,
2026-04-04,20:23,mixed,
2026-04-04,16:50,wet,
2026-04-04,12:08,wet,
2026-04-04,09:07,wet,
2026-04-04,03:04,wet,
2026-04-03,21:56,wet,
2026-04-03,19:00,wet,
2026-04-03,17:00,wet,
2026-04-03,11:15,wet,
2026-04-03,08:50,wet,
2026-04-03,05:45,mixed,
2026-04-02,23:51,wet,
2026-04-02,18:10,wet,
2026-04-02,16:00,wet,
2026-04-02,14:30,wet,
2026-04-02,11:30,wet,
2026-04-02,10:00,wet,
2026-04-02,06:50,mixed,
2026-04-02,04:51,wet,
2026-04-01,20:17,wet,
2026-04-01,17:06,mixed,
2026-04-01,16:09,wet,
2026-04-01,14:30,wet,
2026-04-01,11:21,wet,
2026-04-01,10:08,wet,
2026-04-01,06:47,mixed,
2026-03-31,23:05,wet,
2026-03-31,19:00,wet,
2026-03-31,16:00,wet,
2026-03-31,14:30,wet,
2026-03-31,11:20,wet,
2026-03-31,10:05,wet,
2026-03-31,06:20,wet,
