date,time,type,amount_ml,duration_min,side,notes
2025-11-21,01:45,bottle,20,,,
2025-11-21,02:45,bottle,30,,,
2025-11-21,07:37,pumped,80,,,
2025-11-21,08:38,bottle,10,,,
2025-11-21,13:18,bottle,120,,,
2025-11-21,16:30,bottle,120,,,
2025-11-21,21:40,pumped,70,,,
2025-11-21,21:50,bottle,30,,,
2025-11-22,00:45,bottle,90,,,
2025-11-22,08:57,pumped,60,,,
2025-11-22,09:40,bottle,55,,,
2025-11-22,12:58,pumped,70,,,
2025-11-22,13:36,bottle,60,,,
2025-11-22,15:38,bottle,60,,,
2025-11-22,16:30,bottle,60,,,
2025-11-22,18:57,bottle,60,,,
2025-11-22,22:30,pumped,80,,,
2025-11-22,22:50,bottle,20,,,
2025-11-23,09:28,pumped,70,,,
2025-11-23,10:41,bottle,60,,,
2025-11-23,12:49,bottle,60,,,
2025-12-16,22:00,breast,,5,right,
2025-12-17,22:04,breast,,31,both,
2025-12-18,07:53,breast,,15,left,
2025-12-18,19:48,breast,,15,both,
2025-12-19,21:25,breast,,7,right,
2025-12-19,23:03,breast,,15,right,
2025-12-20,22:26,breast,,5,left,
2025-12-21,05:21,breast,,4,right,
2025-12-21,20:28,breast,,10,right,
2025-12-21,20:39,breast,,3,right,
2025-12-21,21:46,breast,,16,left,
2025-12-22,06:30,breast,,3,right,
2025-12-22,14:51,breast,,4,left,
2025-12-23,06:15,breast,,17,right,
2025-12-23,06:46,breast,,6,left,
2025-12-24,17:32,breast,,11,right,
2025-12-24,17:51,breast,,5,left,
2025-12-26,07:38,breast,,4,right,
2025-12-26,22:39,breast,,8,left,
2025-12-27,06:29,breast,,7,right,
2025-12-27,23:15,breast,,15,both,
2025-12-29,15:25,breast,,26,left,
2025-12-29,16:00,breast,,8,right,
2025-12-30,20:52,breast,,5,right,
2025-12-31,14:14,breast,,18,right,
2025-12-31,21:23,breast,,6,left,
2025-12-31,21:30,breast,,1,left,
2025-12-31,21:32,breast,,3,left,
2026-01-01,11:48,breast,,7,right,
2026-01-01,22:36,breast,,13,left,
2026-01-01,22:49,breast,,10,left,
2026-01-01,23:22,breast,,15,right,
2026-01-02,00:10,breast,,20,right,
2026-01-03,21:10,breast,,20,right,
2026-01-03,21:39,breast,,18,left,
2026-01-04,06:33,breast,,14,left,
2026-01-04,21:33,breast,,12,right,
2026-01-04,21:47,breast,,13,left,
2026-01-05,22:54,breast,,24,left,
2026-01-06,07:39,breast,,21,right,
2026-01-06,23:46,breast,,21,left,
2026-01-07,05:42,breast,,43,right,
2026-01-08,21:48,breast,,30,left,
2026-01-08,22:41,breast,,10,right,
2026-01-13,16:14,breast,,28,left,
2026-03-31,04:01,bottle,165,,,
2026-03-31,07:15,bottle,190,,,
2026-03-31,11:36,bottle,100,,,
2026-03-31,15:36,bottle,100,,,
2026-03-31,18:08,bottle,210,,,
2026-03-31,19:45,bottle,50,,,
2026-03-31,23:11,bottle,210,,,
2026-04-01,04:15,bottle,210,,,
2026-04-01,07:15,bottle,80,,,
2026-04-01,11:30,bottle,70,,,
2026-04-01,17:50,bottle,210,,,
2026-04-01,20:52,bottle,90,,,
2026-04-02,00:20,bottle,200,,,
2026-04-02,05:03,bottle,160,,,
2026-04-02,07:30,bottle,60,,,
2026-04-02,11:00,bottle,170,,,
2026-04-02,15:00,bottle,160,,,
2026-04-02,18:15,bottle,210,,,
2026-04-02,20:07,bottle,120,,,
2026-04-03,00:05,bottle,210,,,
2026-04-03,05:30,bottle,200,,,
2026-04-03,09:40,bottle,170,,,
2026-04-03,13:02,bottle,240,,,
2026-04-03,17:15,bottle,210,,,
2026-04-03,22:08,bottle,170,,,
2026-04-04,03:08,bottle,210,,,
2026-04-04,07:33,bottle,210,,,
2026-04-04,11:30,bottle,150,,,
2026-04-04,16:30,bottle,210,,,
2026-04-04,20:40,bottle,210,,,
2026-04-05,01:10,bottle,210,,,
2026-04-05,07:05,bottle,170,,,
2026-04-05,11:53,bottle,210,,,
2026-04-05,15:40,bottle,180,,,
2026-04-05,19:20,bottle,180,,,
2026-04-05,22:30,bottle,120,,,
2026-04-06,05:55,bottle,180,,,
2026-04-06,10:10,bottle,150,,,
2026-04-06,14:04,bottle,120,,,
2026-04-06,17:56,bottle,210,,,
2026-04-06,21:30,bottle,210,,,
2026-04-07,02:26,bottle,190,,,
2026-04-07,07:40,bottle,110,,,
2026-04-07,11:03,bottle,50,,,
2026-04-07,15:04,bottle,120,,,
2026-04-07,18:10,bottle,170,,,
2026-04-08,00:50,bottle,210,,,
2026-04-08,04:27,bottle,130,,,
2026-04-08,08:04,bottle,150,,,
2026-04-08,11:00,bottle,60,,,
2026-04-08,15:00,bottle,80,,,
2026-04-08,18:04,bottle,210,,,
2026-04-08,22:10,bottle,210,,,
2026-04-09,02:13,bottle,140,,,
2026-04-09,07:16,bottle,150,,,
2026-04-09,11:31,bottle,30,,,
2026-04-09,15:32,bottle,90,,,
2026-04-09,18:13,bottle,210,,,
2026-04-09,22:20,bottle,210,,,
2026-04-10,02:45,bottle,210,,,
2026-04-10,07:30,bottle,180,,,
2026-04-10,15:29,bottle,150,,,
2026-04-10,18:20,bottle,210,,,
2026-04-11,00:12,bottle,180,,,
2026-04-11,04:22,bottle,190,,,
2026-04-11,09:30,bottle,60,,,
2026-04-11,10:40,bottle,180,,,
2026-04-11,15:30,bottle,100,,,
2026-04-11,18:00,bottle,160,,,
